NACA 66(2)-415
    1.000000       0.000000    
   0.9952985      0.1073123E-02
   0.9895080      0.2413062E-02
   0.9832675      0.3879700E-02
   0.9765160      0.5492873E-02
   0.9691918      0.7274105E-02
   0.9612428      0.9244119E-02
   0.9526481      0.1141746E-01
   0.9434496      0.1379285E-01
   0.9337662      0.1634195E-01
   0.9237622      0.1901706E-01
   0.9135996      0.2176622E-01
   0.9033941      0.2454700E-01
   0.8931912      0.2733546E-01
   0.8829882      0.3012519E-01
   0.8727797      0.3291276E-01
   0.8625652      0.3569341E-01
   0.8523492      0.3846101E-01
   0.8421409      0.4120838E-01
   0.8319512      0.4392880E-01
   0.8217883      0.4661673E-01
   0.8116572      0.4926757E-01
   0.8015600      0.5187770E-01
   0.7914958      0.5444416E-01
   0.7814629      0.5696378E-01
   0.7714606      0.5943309E-01
   0.7614895      0.6184847E-01
   0.7515511      0.6420616E-01
   0.7416477      0.6650227E-01
   0.7317809      0.6873288E-01
   0.7219498      0.7089473E-01
   0.7121511      0.7298516E-01
   0.7023789      0.7500205E-01
   0.6926257      0.7694366E-01
   0.6828859      0.7880806E-01
   0.6731609      0.8059212E-01
   0.6634592      0.8229162E-01
   0.6537957      0.8390161E-01
   0.6441911      0.8541657E-01
   0.6346634      0.8682928E-01
   0.6252147      0.8813415E-01
   0.6158302      0.8932804E-01
   0.6064806      0.9040916E-01
   0.5971221      0.9137614E-01
   0.5877011      0.9223447E-01
   0.5781730      0.9299709E-01
   0.5685099      0.9367521E-01
   0.5587034      0.9427873E-01
   0.5487691      0.9481702E-01
   0.5387471      0.9529602E-01
   0.5286814      0.9571396E-01
   0.5186042      0.9606923E-01
   0.5085335      0.9636142E-01
   0.4984723      0.9659082E-01
   0.4884110      0.9675830E-01
   0.4783376      0.9686534E-01
   0.4682452      0.9691326E-01
   0.4581323      0.9690323E-01
   0.4480036      0.9683645E-01
   0.4378685      0.9671368E-01
   0.4277372      0.9653431E-01
   0.4176162      0.9629755E-01
   0.4075087      0.9600271E-01
   0.3974147      0.9564901E-01
   0.3873308      0.9523580E-01
   0.3772532      0.9476299E-01
   0.3671789      0.9423057E-01
   0.3571059      0.9363848E-01
   0.3470331      0.9298669E-01
   0.3369608      0.9227518E-01
   0.3268901      0.9150395E-01
   0.3168242      0.9067318E-01
   0.3067674      0.8978324E-01
   0.2967259      0.8883473E-01
   0.2867070      0.8782797E-01
   0.2767170      0.8676182E-01
   0.2667595      0.8563470E-01
   0.2568351      0.8444482E-01
   0.2469416      0.8319004E-01
   0.2370747      0.8186815E-01
   0.2272306      0.8047786E-01
   0.2174093      0.7901847E-01
   0.2076143      0.7748985E-01
   0.1978523      0.7589252E-01
   0.1881336      0.7422713E-01
   0.1784705      0.7249199E-01
   0.1688756      0.7068503E-01
   0.1593608      0.6880465E-01
   0.1499374      0.6684973E-01
   0.1406164      0.6481954E-01
   0.1314084      0.6271295E-01
   0.1223233      0.6052870E-01
   0.1133693      0.5826581E-01
   0.1045529      0.5592361E-01
   0.9587945E-01  0.5350166E-01
   0.8736186E-01  0.5100271E-01
   0.7908382E-01  0.4845354E-01
   0.7121123E-01  0.4591356E-01
   0.6390870E-01  0.4344544E-01
   0.5722031E-01  0.4106388E-01
   0.5107773E-01  0.3875014E-01
   0.4538063E-01  0.3647511E-01
   0.4005067E-01  0.3422265E-01
   0.3510900E-01  0.3202712E-01
   0.3063183E-01  0.2994981E-01
   0.2666240E-01  0.2803874E-01
   0.2318387E-01  0.2631104E-01
   0.2014184E-01  0.2475606E-01
   0.1747998E-01  0.2333098E-01
   0.1514048E-01  0.2199345E-01
   0.1306904E-01  0.2071411E-01
   0.1122136E-01  0.1947321E-01
   0.9562546E-02  0.1825735E-01
   0.8066882E-02  0.1706062E-01
   0.6716559E-02  0.1588349E-01
   0.5497448E-02  0.1472698E-01
   0.4400537E-02  0.1358725E-01
   0.3429459E-02  0.1244046E-01
   0.2586914E-02  0.1126500E-01
   0.1868042E-02  0.1006469E-01
   0.1264915E-02  0.8853384E-02
   0.7707320E-03  0.7640665E-02
   0.3801434E-03  0.6432998E-02
   0.8934635E-04  0.5234719E-02
  -0.1038709E-03  0.4048691E-02
  -0.2000626E-03  0.2876751E-02
  -0.1979860E-03  0.1720002E-02
  -0.9433813E-04  0.5790119E-03
   0.1164430E-03 -0.5461499E-03
   0.4366450E-03 -0.1657691E-02
   0.8647252E-03 -0.2759268E-02
   0.1400952E-02 -0.3853555E-02
   0.2047371E-02 -0.4942094E-02
   0.2807501E-02 -0.6025068E-02
   0.3685889E-02 -0.7100807E-02
   0.4687310E-02 -0.8164925E-02
   0.5815179E-02 -0.9208930E-02
   0.7068554E-02 -0.1021821E-01
   0.8444662E-02 -0.1117898E-01
   0.9954800E-02 -0.1209950E-01
   0.1161789E-01 -0.1299383E-01
   0.1345253E-01 -0.1386644E-01
   0.1547929E-01 -0.1472127E-01
   0.1772671E-01 -0.1556373E-01
   0.2024123E-01 -0.1640273E-01
   0.2308734E-01 -0.1725507E-01
   0.2634052E-01 -0.1814896E-01
   0.3008194E-01 -0.1913195E-01
   0.3439055E-01 -0.2023461E-01
   0.3931256E-01 -0.2145233E-01
   0.4481412E-01 -0.2275462E-01
   0.5080038E-01 -0.2409340E-01
   0.5723082E-01 -0.2543273E-01
   0.6420098E-01 -0.2677880E-01
   0.7183418E-01 -0.2815366E-01
   0.8018049E-01 -0.2957243E-01
   0.8909671E-01 -0.3101732E-01
   0.9833098E-01 -0.3243703E-01
   0.1077161     -0.3379710E-01
   0.1172237     -0.3509169E-01
   0.1268611     -0.3632538E-01
   0.1366293     -0.3750243E-01
   0.1465207     -0.3862657E-01
   0.1565178     -0.3970111E-01
   0.1665948     -0.4072729E-01
   0.1767271     -0.4170422E-01
   0.1868959     -0.4263193E-01
   0.1970894     -0.4351142E-01
   0.2073027     -0.4434452E-01
   0.2175369     -0.4513320E-01
   0.2277941     -0.4587908E-01
   0.2380754     -0.4658366E-01
   0.2483809     -0.4724837E-01
   0.2587098     -0.4787461E-01
   0.2690602     -0.4846349E-01
   0.2794293     -0.4901597E-01
   0.2898133     -0.4953299E-01
   0.3002077     -0.5001554E-01
   0.3106067     -0.5046441E-01
   0.3210049     -0.5087915E-01
   0.3313988     -0.5125892E-01
   0.3417870     -0.5160300E-01
   0.3521699     -0.5191072E-01
   0.3625501     -0.5218169E-01
   0.3729305     -0.5241621E-01
   0.3833138     -0.5261467E-01
   0.3937025     -0.5277740E-01
   0.4040983     -0.5290471E-01
   0.4145026     -0.5299690E-01
   0.4249149     -0.5305430E-01
   0.4353323     -0.5307726E-01
   0.4457492     -0.5306617E-01
   0.4561579     -0.5302144E-01
   0.4665498     -0.5294265E-01
   0.4769208     -0.5282855E-01
   0.4872722     -0.5267786E-01
   0.4976109     -0.5248918E-01
   0.5079490     -0.5226097E-01
   0.5182963     -0.5199216E-01
   0.5286483     -0.5168227E-01
   0.5389840     -0.5133148E-01
   0.5492661     -0.5094097E-01
   0.5594455     -0.5051080E-01
   0.5694824     -0.5003191E-01
   0.5793671     -0.4949284E-01
   0.5891163     -0.4888177E-01
   0.5987684     -0.4818569E-01
   0.6083799     -0.4739240E-01
   0.6180094     -0.4650156E-01
   0.6277002     -0.4551622E-01
   0.6374790     -0.4444004E-01
   0.6473545     -0.4327847E-01
   0.6573151     -0.4203930E-01
